company,store,store_id,search_ingredient,returned_ingredient,brand,price,quantity,measurement_unit,per_unit_quantity,per_unit_price,is_sale,sku,department,sub_department,datetime_created,date_created,pk_hash,is_valid
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,beef mince,Beef Mince & Cheese Pie,,5.76,200,g,100g,2.88,True,5349244-EA-000,"Fridge, Deli & Eggs",Chilled Soups & Ready Meals,2026-08-21 22:32:12,2026-08-21,4d3bf0802408c8c8,
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,beef mince,Beef Mince,Hellers,9.49,340,g,1kg,27.91,False,5349090-EA-000,"Meat, Poultry & Seafood",Beef,2026-08-21 22:32:12,2026-08-21,5ddf2a01e8f0f452,
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,beef mince,Plant Based Beef Mince,Impossible Foods,9.99,340,g,100g,2.94,True,5312889-EA-000,"Fridge, Deli & Eggs",Dairy Free & Meat Free,2026-08-21 22:32:12,2026-08-21,7297f55cfb177174,
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,beef mince,Wagyu Beef Mince,First Light,13.99,400,g,1kg,34.98,False,5203717-EA-000,"Meat, Poultry & Seafood","Beef|Mince, Sausages & Meatballs",2026-08-21 22:32:12,2026-08-21,0e1257f7fb4c6be6,
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,beef mince,NZ Beef Prime Mince,,26.99,1,kg,1kg,26.99,False,5125914-KGM-000,"Meat, Poultry & Seafood","Beef|Mince, Sausages & Meatballs",2026-08-21 22:32:12,2026-08-21,76e0ac97df5ed24b,
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,beef mince,NZ Premium Beef Mince,,30.99,1,kg,1kg,30.99,False,5101189-KGM-000,"Meat, Poultry & Seafood","Beef|Mince, Sausages & Meatballs",2026-08-21 22:32:12,2026-08-21,fc447e4f378d0a81,
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,beef mince,NZ Diced Beef,,31.99,1,kg,1kg,31.99,False,5104061-KGM-000,"Meat, Poultry & Seafood",Beef,2026-08-21 22:32:12,2026-08-21,4ded316467137c43,
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,beef mince,NZ Stir Fry Beef,,34.99,1,kg,1kg,34.99,False,5102202-KGM-000,"Meat, Poultry & Seafood",Beef,2026-08-21 22:32:12,2026-08-21,14e5d0093d13d5e8,
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,spaghetti pasta,Spaghetti Pasta,Pams,1.79,500,g,100g,0.36,False,5323416-EA-000,Pantry,"Pasta, Rice & Noodles",2026-08-21 22:32:12,2026-08-21,d649e5ae6d0d2da5,
NewWorld,New World Botany,c387ac97-5e0a-43ed-9c93-f1edccda298d,spaghetti pasta,Spaghetti Pasta,Diamond,2.99,500,g,100g,0.6,False,5002634-EA-000,Pantry,"Pasta, Rice & Noodles",2026-08-21 22:32:12,2026-08-21,b68ba61b44e71d01,
