store,store_id,distance_km,region,ingredient,product_name,product_size,price,unit_price,is_promo
Botany,60561e46-ece7-43a7-b142-9b14812586e4,0.21,NI,beef mince,Gluten Free Sweet & Spicy Minced Beef Ready Sauce,120g,1.99,,True
Botany,60561e46-ece7-43a7-b142-9b14812586e4,0.21,NI,spaghetti pasta,Spaghetti,400g,1.19,,False
Botany,60561e46-ece7-43a7-b142-9b14812586e4,0.21,NI,canned tomatoes,Chopped Tomatoes in Juice,400g,0.89,,False
Botany,60561e46-ece7-43a7-b142-9b14812586e4,0.21,NI,onion,Onion Soup Mix Sachet,32g,1.39,,False
Botany,60561e46-ece7-43a7-b142-9b14812586e4,0.21,NI,carrot,Sweet Potato Carrot & Apple 4+ Months Smooth,120g,1.99,,False
Botany,60561e46-ece7-43a7-b142-9b14812586e4,0.21,NI,garlic,Diced Tomatoes In Juice With Garlic And Oregano,400g,1.09,,False
Botany,60561e46-ece7-43a7-b142-9b14812586e4,0.21,NI,mixed herbs,Mixed Herb Blend,13g,2.59,,False
Ormiston,5f167936-79ae-4f6a-b9d2-74afe1bb096b,3.74,NI,beef mince,Gluten Free Sweet & Spicy Minced Beef Ready Sauce,120g,1.99,,True
Ormiston,5f167936-79ae-4f6a-b9d2-74afe1bb096b,3.74,NI,spaghetti pasta,Spaghetti,400g,1.29,,False
Ormiston,5f167936-79ae-4f6a-b9d2-74afe1bb096b,3.74,NI,canned tomatoes,Chopped Tomatoes in Juice,400g,0.89,,False
Ormiston,5f167936-79ae-4f6a-b9d2-74afe1bb096b,3.74,NI,onion,Brown Onion Gravy Mix,25g,1.19,,False
Ormiston,5f167936-79ae-4f6a-b9d2-74afe1bb096b,3.74,NI,carrot,Carrots,kg,1.49,,False
Ormiston,5f167936-79ae-4f6a-b9d2-74afe1bb096b,3.74,NI,garlic,Diced Tomatoes In Juice With Garlic And Oregano,400g,1.29,,False
Ormiston,5f167936-79ae-4f6a-b9d2-74afe1bb096b,3.74,NI,mixed herbs,Mixed Herb Blend,13g,2.59,,False
Highland Park,2a1b331a-fc4a-496a-b072-e97cc8f70cae,3.83,NI,beef mince,Gluten Free Sweet & Spicy Minced Beef Ready Sauce,120g,1.99,,True
Highland Park,2a1b331a-fc4a-496a-b072-e97cc8f70cae,3.83,NI,spaghetti pasta,Spaghetti,400g,0.99,,False
Highland Park,2a1b331a-fc4a-496a-b072-e97cc8f70cae,3.83,NI,canned tomatoes,Chopped Tomatoes in Juice,400g,0.89,,False
Highland Park,2a1b331a-fc4a-496a-b072-e97cc8f70cae,3.83,NI,onion,Onion Soup Mix Sachet,32g,1.19,,False
Highland Park,2a1b331a-fc4a-496a-b072-e97cc8f70cae,3.83,NI,carrot,Carrots,kg,1.49,,True
Highland Park,2a1b331a-fc4a-496a-b072-e97cc8f70cae,3.83,NI,garlic,Diced Tomatoes In Juice With Garlic And Oregano,400g,1.29,,False
Highland Park,2a1b331a-fc4a-496a-b072-e97cc8f70cae,3.83,NI,mixed herbs,Mixed Herb Blend,13g,2.59,,False
