id,name,address,latitude,longitude
9290,Nelson Junction Woolworths,33 Cadillac Way,-41.2977069,173.241518
9527,Nelson Woolworths,35 St Vincent Street,-41.2727,173.2773
9246,Trafalgar Park Woolworths,Cnr Paru paru Rd & Halifax St,-41.2702,173.2815
9168,Stoke Woolworths,Cnr Putaitai Street & Main Road,-41.3117,173.2338
9040,Richmond Woolworths,"144 Salisbury Rd, Richmond",-41.3342,173.2018
9290,Motueka Woolworths,108 High Street,-41.1097,173.011
9578,Springlands Woolworths,133 Middle Renwick Road,-41.5092,173.9351
9052,Blenheim Woolworths,51 Arthur Street,-41.5136,173.9543
9499,Redwoodtown Woolworths,Cnr Weld St & Alabama Rd,-41.5297,173.9552
9423,Karori Woolworths,"Karori Shopping Centre, Karori Road",-41.2843,174.7386
9036,Crofton Downs Woolworths,124 Churchill Drive,-41.2572,174.7659
9597,Cable Car Lane Woolworths,280 - 284 LAMBTON QUAY,-41.2843,174.7743
9022,Newtown Woolworths,3 John Street,-41.3075,174.7771
9410,Kilbirnie Woolworths,47 Bay Road,-41.3195,174.7946
9261,Johnsonville Mall Woolworths,Moorefield Road,-41.223,174.8051
9412,Johnsonville Woolworths,71 Johnsonville Road,-41.2241,174.808
9026,Tawa Woolworths,5 William Earp Place,-41.1865,174.8308
9278,Porirua Woolworths,Cnr Parumoana St & Lyttleton Avenue,-41.1339,174.8413
9558,Petone Woolworths,45 Jackson Street,-41.2229,174.8722
9555,Aotea Woolworths,"3A Whitford Brown Ave, Papakowhai",-41.1202,174.8668
9279,Lower Hutt Woolworths,261 High Street,-41.2074,174.9059
9288,Queensgate Woolworths,"Queensgate Shopping Centre, 35 Bloomfield Terrace",-41.2104,174.908
9065,Wainuiomata Woolworths,"9 Te Ara Raukura, Upper Hutt, 5014",-41.2607,174.9437
9436,Paraparaumu Woolworths,Coastlands Shopping Centre,-40.9174,175.0055
9492,Upper Hutt Woolworths,13-19 Queen Street,-41.1227,175.071
9522,Waikanae Woolworths,Ngaio Road,-40.8763,175.0652
9044,Levin Woolworths,Cnr Bristol & Stanley Sts,-40.6203,175.2868
9431,Hawera Woolworths,39 Nelson St,-39.5874,174.2823
9019,Masterton Woolworths,Cnr Workshop & Queen Sts,-40.9525,175.6589
9009,Greymouth Woolworths,174 Mawhera Quay,-42.4487,171.2141
9129,Victoria Ave Woolworths,433 Victoria Ave,-39.925,175.0381
9252,Whanganui Woolworths,"Trafalgar Sqr, Cnr Taupo Quay & Wilson Street",-39.9358,175.0532
9006,Amberley Woolworths,"Brakensfield Retail Centre, 129 Carters Road",-43.1569,172.7301
9069,Awapuni Woolworths,520 Pioneer Highway,-40.3703,175.5804
9111,Rangitikei St Woolworths,Cnr Rangitikei & Featherston St,-40.3503,175.6065
9244,Palmerston North Woolworths,Cnr Ferguson & Ashley Streets,-40.3578,175.615
9287,Palmerston North Broadway Woolworths,Cnr Albert & Main St,-40.35,175.6238
9471,Feilding Woolworths,Cnr Kimbolton & Welds Streets,-40.2252,175.5686
9470,Kelvin Grove Woolworths,7 Fernlea Ave,-40.3301,175.6534
9179,Stratford Woolworths,21A - 27 Broadway,-39.3272,174.2795
9059,Rangiora East Woolworths,40-54 Ivory Street,-43.3074,172.5989
9077,Waimakariri Junction Woolworths,6 Hakarau Road,-43.3766,172.6481
9565,Kaiapoi Woolworths,87-97 Hilton Street,-43.3854,172.658
9554,Belfast Woolworths,755 Main North Road,-43.4483,172.6297
9225,Spotswood Woolworths,Cnr Manadon St & South Rd,-39.0759,174.0339
9539,Vogeltown Woolworths,30 Hori Street,-39.0776,174.0829
9540,Northlands Woolworths,Cnr Main North Rd & Sawyers Arms Rd,-43.4917,172.6116
9485,New Brighton Woolworths,12 Hawke Street,-43.5067,172.7298
9402,New Plymouth Central Woolworths,174 Courtenay Street,-39.0564,174.0823
9582,The Palms Woolworths,"The Palms Plaza, Marshland Road",-43.5054,172.6643
9490,Christchurch Airport Woolworths,530 - 546A Memorial Avenue,-43.4899,172.5477
9126,The Valley Woolworths,"The Valley Mega Centre, 1 Vickers Road",-39.0475,174.115
9478,Avonhead Woolworths,Cnr Withells Road & Merrin St,-43.5112,172.5573
9255,Eastgate Woolworths,6 Buckleys Rd,-43.5323,172.6297
9169,Moorhouse Ave Woolworths,347 Moorhouse Ave,-43.5387,172.6417
9480,Church Corner Woolworths,Cnr Riccarton Road & Hansons Lane,-43.5327,172.573
9576,Ferrymead Woolworths,999 Ferry Rd,-43.5569,172.7023
9251,Woolworths Colombo St,219 Colombo Street,-43.5533,172.6356
9409,Hornby Woolworths,17 Chappie Place,-43.5428,172.527
9028,Rolleston Woolworths,Cnr Mccauley St & Rolleston Dr,-43.594,172.3861
9016,Waipukurau Woolworths,Rautaniwha St,-39.9954,176.5576
9042,Ashburton Woolworths,Cnr East & Peter Streets,-43.902,171.7519
9566,Ashburton South Woolworths,2 South St,-43.9085,171.7418
9433,Hastings Woolworths,301 Queen Street West,-39.6388,176.8421
9532,Carlyle Woolworths,33 Carlyle Street,-39.4928,176.9113
9136,Napier Woolworths,Cnr Munroe & Dickens Streets,-39.4928,176.9138
9414,Taupo South Woolworths,16 Kokomea Village Drive,-38.722,176.0793
9293,Taupo Central Woolworths,Cnr of Spa Rd and Tongariro St,-38.6826,176.0713
9430,Otorohanga Woolworths,119-123 Maniapoto St,-38.19,175.2099
9213,Timaru North Woolworths,"The Showgrounds, 233 Evans Street",-44.3718,171.2423
9494,Timaru Woolworths,9 Browne Street,-44.4026,171.2539
9550,Te Awamutu Woolworths,180 Sloane Street,-38.0118,175.3259
9516,Tokoroa Woolworths,12 - 20 O'Sullivan Dr,-38.222,175.8737
9509,Putaruru Woolworths,Tirau Street,-38.0473,175.7806
9137,Cambridge Woolworths,Cnr Queen & Empire Streets,-37.8923,175.4702
9563,Dinsdale Woolworths,47 Whatawhata Road,-37.7964,175.2454
9511,Bridge Street Woolworths,Cnr Bridge & Anglesea Street,-37.7934,175.2863
9067,Hamilton Woolworths,Cnr Anglesea & Liverpool Streets,-37.7813,175.2734
9222,Claudelands Woolworths,160 Peachgrove Road,-37.7785,175.299
9226,Te Rapa Woolworths,8 Eagle Way,-37.7464,175.2343
9286,Chartwell Woolworths,"Chartwell Mall, Lyndon Court",-37.7505,175.278
9570,St James Woolworths,Cnr Hukunui & Thomas Rds,-37.7322,175.2732
9037,Rototuna Woolworths,3 Fergy Place,-37.7232,175.2595
9454,Rotorua Woolworths,246 Fenton Street,-38.1427,176.254
9497,Fairy Springs Woolworths,54 Fairy Springs Road,-38.1201,176.228
9511,Matamata Woolworths,Cnr Arawa & Gouk Sts,-37.8088,175.774
9505,Huntly Woolworths,16 - 18 Tumate Mahuta Drive,-37.5641,175.1585
9230,Morrinsville Woolworths,66 Studholme Street,-37.6569,175.5276
9452,Te Aroha Woolworths,85 Whitaker Street,-37.545,175.7139
9407,Oamaru Woolworths,108-116 Thames St,-45.0971,170.9704
9531,Bethlehem Woolworths,19 Bethlehem Road,-37.6947,176.1088
9564,Fraser Cove Woolworths,"Fraser Cover Shopping Centre, 229 - 233 Fraser St",-37.7141,176.1513
9027,Tauranga Woolworths,618 Cameron Road,-37.7004,176.1577
9112,Te Puke Woolworths,Cnr Queen & Boucher St,-37.7846,176.3251
9552,Katikati Woolworths,123 - 131 Main Road,-37.5597,175.9158
9233,Pokeno Woolworths,58 Great South Road,-37.2453,175.0225
9112,Bureta Park Woolworths,"44 - 50 Bureta Rd, Otumoetai",-37.6683,176.1533
9491,Pukekohe South Woolworths,186-192 Manukau Rd,-37.2106,174.9113
9445,Pukekohe Woolworths,Cnr Tobin & Seddon Sts,-37.1996,174.9022
9415,Bayfair Woolworths,"Bayfair Shopping Centre, 1 - 19 Givern Rd",-37.6757,176.2241
9472,Papamoa Woolworths,"Papamoa Shopping Centre, Domain Rd, Royal Palm Beach",-37.699,176.2838
9015,Paeroa Woolworths,27 Belmont Road,-37.3784,175.6681
9525,Papakura Woolworths,2 Averill Street,-37.0636,174.9442
9014,Roselands Mall Woolworths,"90-96 Great South Road, Papakura",-37.0589,174.9412
9043,Whakatane Woolworths,105-125 Commerce St,-37.9561,176.9949
9007,Takanini Woolworths,228 Great South Road,-37.0476,174.9271
9464,Waiata Shores Woolworths,2 Periko Way,-37.036,174.9057
9029,Manurewa Woolworths,227 Browns Road,-37.0177,174.8649
9483,Auckland Airport Woolworths,Cnr Georgebolt Memorial & Cnr John Goulter Dr,-36.9976,174.789
9574,Manukau City Mall Woolworths,"Shop 99 Manukau City Centre, Cnr Great South & Wiri Station Rds",-36.9929,174.8822
9545,Manukau Woolworths,652 Great South Road,-36.987,174.8838
9486,Mangere East Woolworths,359 Massey Rd,-36.9667,174.8251
9559,Papatoetoe Woolworths,"Hunters Plaza, 217 Great South Rd",-36.971,174.8605
9506,Lynfield Woolworths,570 Hillsborough Road,-36.9256,174.7231
9228,Kelston Woolworths,Cnr Great North & West Coast Road,-36.9096,174.6635
9519,Lynnmall Woolworths,"Lynnmall Shopping Centre, Great North Road",-36.9073,174.6843
9567,Onehunga Woolworths,Cnr Church St & Selwyn St,-36.9231,174.7832
9023,Mount Roskill Woolworths,112 Stoddard Road,-36.9042,174.727
9270,Three Kings Woolworths,532 Mt Albert Road,-36.9093,174.7551
9408,Henderson Woolworths,"West City Shopping Centre, 7 Catherine Street",-36.8808,174.6328
9238,Gisborne Woolworths,109-115 Carnarvon St,-38.6619,178.0182
9109,Botany Downs Woolworths,Cnr Te Irirangi & Ti Rakau Drives,-36.9299,174.9112
9046,Mount Wellington Woolworths,Cnr Penrose Rd & Mt Wellington Hway,-36.9094,174.8372
9592,Te Atatu South Woolworths,Cnr Edmonton & Te Atatu Roads,-36.8657,174.6463
9108,St Lukes Woolworths,"Saint Lukes Shopping Centre, Cnr St Lukes Rd & Morningside Dr",-36.8838,174.7342
9204,Pakuranga Woolworths,Pakuranga Town Centre,-36.913,174.8686
9053,Lincoln Road Woolworths,185-187 Universal Drive,-36.8569,174.6314
9039,Greenlane Woolworths,326 Great South Road,-36.8893,174.7937
9538,Pt Chevalier Woolworths,13 Pt Chevalier Road,-36.8698,174.7102
9544,Mount Eden Woolworths,Cnr Valley & Dominion Roads,-36.8773,174.7516
9411,Meadowlands Woolworths,Cnr Meadowlands Drive & Whitford Road,-36.9135,174.929
9405,Newmarket Woolworths,"Level 3, Westfield Newmarket, 277 Broadway, Newmarket",-36.8719,174.7763
9510,Highland Park Woolworths,507 Pakuranga Road,-36.8995,174.9082
9285,Te Atatu Woolworths,583 Te Atatu Road,-36.8426,174.6525
9021,Meadowbank Woolworths,35-47 St Johns Road,-36.8759,174.8276
9253,Grey Lynn Woolworths,271 Richmond Rd,-36.8546,174.7318
9500,Ponsonby Woolworths,4 Williamson Ave,-36.8585,174.7489
9561,St Johns Woolworths,130-140 Felton Mathew Avenue,-36.8794,174.852
9024,Howick Woolworths,35 Cook St,-36.8959,174.9328
9047,Westgate Woolworths,"Westgate Shopping Centre, Cnr Westgate & Fern Hill Drive",-36.8209,174.6141
9583,Northwest Woolworths,"7 Fred Taylor Drive, Northwest Town Centre",-36.8197,174.6113
9250,Metro Auckland Victoria Street West,19-25 Victoria Street,-36.8486,174.7647
9045,Auckland City Woolworths,76 Quay Street,-36.845,174.773
9523,Beachlands Woolworths,129 Beachlands Rd,-36.8898,175.0083
9569,Hobsonville Woolworths,124 Hobsonville Road,-36.7974,174.6474
9101,Birkenhead Woolworths,Cnr Highbury Pass & Birkenhead Ave,-36.8113,174.7248
9573,Northcote Woolworths,Pearn Crescent,-36.8003,174.7448
9443,Glenfield Woolworths,"Glenfield Mall, Bentley Ave",-36.7818,174.7229
9127,Takapuna Woolworths,Barry's Point Road,-36.7913,174.7655
9005,Milford Woolworths,"Milford Shopping Centre, Milford Rd",-36.772,174.7661
9587,Sunnynook Woolworths,Cnr Sycamore Dr & Sunnynook Rd,-36.759,174.7408
9248,Mairangi Bay Woolworths,3 Ramsgate Terrace,-36.739,174.7526
9171,Greville Road Woolworths,65 Greville Road,-36.7309,174.7222
9104,Helensville Woolworths,43 Commercial Road,-36.6772,174.4506
9517,Waiheke Island Woolworths,"13 - 19 Belgium St, Waiheke Island",-36.795,175.0459
9254,Browns Bay Woolworths,Cnr Anzac & Clyde Rds,-36.7175,174.7474
9503,Whangaparaoa Woolworths,Cnr Whangaparaoa & Wade Drive,-36.6365,174.7466
9025,Silverdale Woolworths,40 Hibiscus Coast Highway,-36.6139,174.6807
9536,Orewa Woolworths,Moenui Avenue,-36.5883,174.6961
9277,Whitianga Woolworths,24 Joan Gaskell Drive,-36.8337,175.6944
9584,Alexandra Woolworths,106 Centennial Avenue,-45.2491,169.3853
9488,Queenstown Woolworths,30 Grant Rd,-45.0136,168.7418
