search_ingredient,returned_ingredient,reason
canned tomatoes,Chopped Tomatoes in Juice,EXCLUDE hit: ['juice']
canned tomatoes,Whole Peeled Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Diced Tomatoes In Juice With Garlic And Oregano,EXCLUDE hit: ['juice']
canned tomatoes,Italian Whole Peeled Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Crushed Italian Tomatoes In Thick Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Whole Peeled Italian Tomatoes In Thick Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Diced Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Italian Tomatoes Chopped In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Baked Beans In Tomato Sauce,EXCLUDE hit: ['sauce']
canned tomatoes,Spaghetti In Tomato Sauce,EXCLUDE hit: ['sauce']
canned tomatoes,Whole Cherry Italian Tomatoes in Thick Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Organic Chopped Tomatoes Peeled In Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Organic Whole Tomatoes Peeled In Tomato Juice,EXCLUDE hit: ['juice']
onion,Cheese & Onion Old-Fashioned Wave Cut Chips,EXCLUDE hit: ['chips']
onion,Naturals Eco Onion Powder Fine,EXCLUDE hit: ['powder']
onion,Minis Sour Cream & Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Originals Green Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Sour Cream & Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Kiwi Onion Dip,EXCLUDE hit: ['dip']
onion,Sour Cream & Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Roast Garlic & Onion Creamy Dip,EXCLUDE hit: ['dip']
onion,Creamy Onion Dip,EXCLUDE hit: ['dip']
onion,Vintage Cheddar & Red Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Kettle Fried Sour Cream Chive Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Classic Kiwi Onion Dips With Bits,EXCLUDE hit: ['dip']
carrot,Goofy Single Serve Carrot Cake.,EXCLUDE hit: ['cake']
carrot,Medium Carrot Cake Block,EXCLUDE hit: ['cake']
garlic,Crushed Garlic,EXCLUDE hit: ['crushed']
garlic,Naturals Eco Garlic Powder,EXCLUDE hit: ['powder']
garlic,Tomato & Garlic Pasta Sauce,EXCLUDE hit: ['paste']
garlic,Crushed Garlic,EXCLUDE hit: ['crushed']
garlic,Garlic & Sea Salt Butter,EXCLUDE hit: ['salt']
garlic,Garlic Naan Bread,EXCLUDE hit: ['bread']
garlic,Traditional Garlic Bread,EXCLUDE hit: ['bread']
garlic,Garlic Bread,EXCLUDE hit: ['bread']
garlic,Garlic Bread,EXCLUDE hit: ['bread']
garlic,Garlic Bread,EXCLUDE hit: ['bread']
canned tomatoes,Chopped Tomatoes in Juice,EXCLUDE hit: ['juice']
canned tomatoes,Whole Peeled Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Diced Tomatoes In Juice With Garlic And Oregano,EXCLUDE hit: ['juice']
canned tomatoes,Italian Whole Peeled Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Crushed Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Crushed Italian Tomatoes In Thick Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Whole Peeled Italian Tomatoes In Thick Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Diced Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Organic Whole Peeled Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Italian Tomatoes Chopped In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Baked Beans In Tomato Sauce,EXCLUDE hit: ['sauce']
canned tomatoes,Spaghetti In Tomato Sauce,EXCLUDE hit: ['sauce']
canned tomatoes,Whole Cherry Italian Tomatoes in Thick Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Organic Chopped Tomatoes Peeled In Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Organic Whole Tomatoes Peeled In Tomato Juice,EXCLUDE hit: ['juice']
onion,Cheese & Onion Old-Fashioned Wave Cut Chips,EXCLUDE hit: ['chips']
onion,Minis Sour Cream & Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Originals Green Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Sour Cream & Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Kiwi Onion Dip,EXCLUDE hit: ['dip']
onion,Sour Cream & Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Roast Garlic & Onion Creamy Dip,EXCLUDE hit: ['dip']
onion,Creamy Onion Dip,EXCLUDE hit: ['dip']
onion,Vintage Cheddar & Red Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Kettle Fried Sour Cream Chive Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Classic Kiwi Onion Dips With Bits,EXCLUDE hit: ['dip']
carrot,Medium Carrot Cake Block,EXCLUDE hit: ['cake']
carrot,Carrot Cake,EXCLUDE hit: ['cake']
garlic,Crushed Garlic,EXCLUDE hit: ['crushed']
garlic,Tomato & Garlic Pasta Sauce,EXCLUDE hit: ['paste']
garlic,Crushed Garlic,EXCLUDE hit: ['crushed']
garlic,Garlic & Sea Salt Butter,EXCLUDE hit: ['salt']
garlic,Garlic Naan Bread,EXCLUDE hit: ['bread']
garlic,Garlic Bread Sticks Twinpack,EXCLUDE hit: ['bread']
garlic,Traditional Garlic Bread,EXCLUDE hit: ['bread']
garlic,Garlic Bread,EXCLUDE hit: ['bread']
garlic,Garlic Bread,EXCLUDE hit: ['bread']
mixed herbs,Mixed Salad,INCLUDE ['herb'] missing
canned tomatoes,Chopped Tomatoes in Juice,EXCLUDE hit: ['juice']
canned tomatoes,Whole Peeled Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Diced Tomatoes In Juice With Garlic And Oregano,EXCLUDE hit: ['juice']
canned tomatoes,Italian Whole Peeled Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Crushed Italian Tomatoes In Thick Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Whole Peeled Italian Tomatoes In Thick Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Diced Tomatoes In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Italian Tomatoes Chopped In Juice,EXCLUDE hit: ['juice']
canned tomatoes,Baked Beans In Tomato Sauce,EXCLUDE hit: ['sauce']
canned tomatoes,Spaghetti In Tomato Sauce,EXCLUDE hit: ['sauce']
canned tomatoes,Whole Cherry Italian Tomatoes in Thick Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Organic Chopped Tomatoes Peeled In Tomato Juice,EXCLUDE hit: ['juice']
canned tomatoes,Organic Whole Tomatoes Peeled In Tomato Juice,EXCLUDE hit: ['juice']
onion,Cheese & Onion Old-Fashioned Wave Cut Chips,EXCLUDE hit: ['chips']
onion,Naturals Eco Onion Powder Fine,EXCLUDE hit: ['powder']
onion,Minis Sour Cream & Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Originals Green Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Sour Cream & Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Kiwi Onion Dip,EXCLUDE hit: ['dip']
onion,Sour Cream & Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Roast Garlic & Onion Creamy Dip,EXCLUDE hit: ['dip']
onion,Creamy Onion Dip,EXCLUDE hit: ['dip']
onion,Vintage Cheddar & Red Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Kettle Fried Sour Cream Chive Onion Potato Chips,EXCLUDE hit: ['chips']
onion,Classic Kiwi Onion Dips With Bits,EXCLUDE hit: ['dip']
carrot,Medium Carrot Cake,EXCLUDE hit: ['cake']
carrot,Carrot Cake,EXCLUDE hit: ['cake']
carrot,Organic Carrot Juice,EXCLUDE hit: ['juice']
garlic,Crushed Garlic,EXCLUDE hit: ['crushed']
