search_ingredient,returned_ingredient,reason
beef mince,NZ Diced Beef,INCLUDE 'mince' missing
beef mince,NZ Stir Fry Beef,INCLUDE 'mince' missing
canned tomatoes,Tomatoes Chopped In Puree,EXCLUDE hit: ['puree']
canned tomatoes,Organic Cherry Tomatoes,EXCLUDE hit: ['cherry']
canned tomatoes,Whole Cherry Italian Tomatoes in Thick Tomato Juice,EXCLUDE hit: ['cherry']
canned tomatoes,Cherry Tomatoes,EXCLUDE hit: ['cherry']
onion,Onion Soup Mix Sachet,EXCLUDE hit: ['sachet']
onion,French Onion Soup Mix Sachet,EXCLUDE hit: ['sachet']
onion,Naturals Eco Onion Powder Fine,EXCLUDE hit: ['powder']
carrot,"Steam Fresh Broccoli, Carrots & Baby Peas Vege Mix",EXCLUDE hit: ['baby']
carrot,Baby Carrots,EXCLUDE hit: ['baby']
garlic,Naturals Eco Garlic Powder,EXCLUDE hit: ['powder']
garlic,Tomato & Garlic Pasta Sauce,EXCLUDE hit: ['paste']
mixed herbs,Mixed Herb Blend,EXCLUDE hit: ['blend']
mixed herbs,Mixed Herb Blend,EXCLUDE hit: ['blend']
mixed herbs,Deli Garlic Herb Broccoli Seasoned Sides,EXCLUDE hit: ['seasoning']
beef mince,Pork & Beef Mince,EXCLUDE hit: ['pork']
beef mince,NZ Diced Beef,INCLUDE 'mince' missing
beef mince,NZ Stir Fry Beef,INCLUDE 'mince' missing
canned tomatoes,Italian Cherry Tomatoes,EXCLUDE hit: ['cherry']
canned tomatoes,Tomatoes Chopped In Puree,EXCLUDE hit: ['puree']
canned tomatoes,Organic Cherry Tomatoes,EXCLUDE hit: ['cherry']
canned tomatoes,Whole Cherry Italian Tomatoes in Thick Tomato Juice,EXCLUDE hit: ['cherry']
canned tomatoes,Cherry Tomatoes,EXCLUDE hit: ['cherry']
onion,Onion Soup Mix Sachet,EXCLUDE hit: ['sachet']
onion,French Onion Soup Mix Sachet,EXCLUDE hit: ['sachet']
carrot,Baby Carrots & Whole Baby Beans,EXCLUDE hit: ['baby']
carrot,Baby Carrots,EXCLUDE hit: ['baby']
garlic,Tomato & Garlic Pasta Sauce,EXCLUDE hit: ['paste']
mixed herbs,Mixed Herb Blend,EXCLUDE hit: ['blend']
mixed herbs,Mixed Salad,INCLUDE 'herbs' missing
mixed herbs,Mixed Herb Blend,EXCLUDE hit: ['blend']
mixed herbs,Deli Garlic Herb Broccoli Seasoned Sides,EXCLUDE hit: ['seasoning']
beef mince,NZ Diced Beef,INCLUDE 'mince' missing
beef mince,NZ Stir Fry Beef,INCLUDE 'mince' missing
canned tomatoes,Italian Cherry Tomatoes,EXCLUDE hit: ['cherry']
canned tomatoes,Organic Cherry Tomatoes,EXCLUDE hit: ['cherry']
canned tomatoes,Whole Cherry Italian Tomatoes in Thick Tomato Juice,EXCLUDE hit: ['cherry']
canned tomatoes,Cherry Tomatoes,EXCLUDE hit: ['cherry']
onion,Onion Soup Mix Sachet,EXCLUDE hit: ['sachet']
onion,French Onion Soup Mix Sachet,EXCLUDE hit: ['sachet']
onion,Naturals Eco Onion Powder Fine,EXCLUDE hit: ['powder']
carrot,Organic Carrot Juice,"EXCLUDE hit: ['juice', 'organic']"
garlic,Naturals Eco Garlic Powder,EXCLUDE hit: ['powder']
garlic,Tomato & Garlic Pasta Sauce,EXCLUDE hit: ['paste']
mixed herbs,Mixed Herb Blend,EXCLUDE hit: ['blend']
mixed herbs,Mixed Salad,INCLUDE 'herbs' missing
mixed herbs,Mixed Herb Blend,EXCLUDE hit: ['blend']
beef mince,woolworths pork & beef mince ,EXCLUDE hit: ['pork']
beef mince,woolworths beef smash burgers,INCLUDE 'mince' missing
beef mince,woolworths beef stacker burgers,INCLUDE 'mince' missing
beef mince,woolworths value beef burgers,INCLUDE 'mince' missing
beef mince,woolworths beef angus quarter pounder,INCLUDE 'mince' missing
beef mince,woolworths nz beef meatballs ,INCLUDE 'mince' missing
